,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,path
0,CC1CCCCC1[*],91.133,B3LYP,MA-DEF2-TZVPP,2,0,298.15 ,acetonitrile,-7367.46,-7367.44,0.99,-7368.43,-0.9700000000002547,0.15,8.847944e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\R\out.txt
1,CC1CCCCC1[1-],91.133,B3LYP,MA-DEF2-TZVPP,1,-1,298.15 ,acetonitrile,-7370.39,-7370.37,0.99,-7371.35,-0.9600000000000364,4.12,8.884461000000001e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\R-\out.txt
2,OCO,44.009,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-5131.52,-5131.49,0.51,-5132.0,-0.47999999999956344,0.0,3.557511e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\CO2\out.txt
3,OCO[*1-],44.009,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-5133.69,-5133.66,0.74,-5134.41,-0.7200000000002547,0.09,3.6667450000000005e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\CO2-\out.txt
4,OCO,44.009,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-5129.77,-5129.74,0.72,-5130.46,-0.6899999999995998,1.25,3.6667450000000005e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\CO2_mol\out.txt
5,OC(O)CC1CCCCC1[1-],135.142,B3LYP,MA-DEF2-TZVPP,1,-1,298.15 ,acetonitrile,-12503.61,-12503.58,1.17,-12504.75,-1.139999999999418,13.5,1.1458207000000001e-27,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\BnCO2\out.txt
6,OC(O)CC1CCCCC1[1-],135.142,B3LYP,MA-DEF2-TZVPP,1,-1,298.15 ,acetonitrile,-12503.6,-12503.57,1.17,-12504.75,-1.1499999999996362,13.03,1.1459983000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\BnCO2_2\out.txt
7,C1CCC(CCC2CCCCC2)CC1,182.266,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-14737.39,-14737.37,1.37,-14738.74,-1.3500000000003638,0.0,1.6547722e-27,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\BnBn1\out.txt
8,C1CCC(CCC2CCCCC2)CC1,182.266,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-14737.42,-14737.4,1.36,-14738.76,-1.3400000000001455,0.83,1.6539036000000003e-27,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\BnBn3\out.txt
9,Cl[*],35.450,B3LYP,MA-DEF2-TZVPP,2,0,298.15 ,acetonitrile,-12520.03,-12520.01,0.49,-12520.5,-0.46999999999934516,0.0,2.61784e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\Cl\out.txt
10,Cl[1-],35.450,B3LYP,MA-DEF2-TZVPP,1,-1,298.15 ,acetonitrile,-12526.6,-12526.57,0.47,-12527.05,-0.4499999999989086,0.0,2.61784e-28,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\Cl-\out.txt
11,ClCC1CCCCC1,126.583,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-19890.46,-19890.43,1.08,-19891.51,-1.0499999999992724,3.03,1.053524e-27,D:\Electrochemistry\Article_2\ORCA\Results\Electrocarboxylation\BnCl\out.txt
